"Name","architecture","dropout","finetune_lr_factor","group_loss_weight","img_size","label_smoothing_eps","learning_rate","num_unfreeze_blocks","scheduler_factor","transform_mode","use_weighted_sampler","weight_decay","LR/P1","LR/P2","Loss/P1_train","Loss/P1_val","Acc/P1_train","Acc/P1_val","P1 Acc/train","Acc/P2_train","Acc/P2_val","P2 Acc/train","P1 Loss/train","P1 Loss/val","P1 Acc/val","P1 LR","P2 Acc/val","P2 Loss/train"
"fancy-sweep-60","efficientnet_b0","0.4","0.05","0.3","300","0.15","0.0003","2","0.3","augmented","true","0.0005","0.0003","0.000015","2.5516989305615425","2.5555757209658623","0.777302189066895","0.747677261613692","","0.8212058212058212","0.780440097799511","","","","","","",""
"peach-sweep-59","efficientnet_v2_s","0.3","0.05","0.7","300","0.2","0.001","2","0.5","pad","true","0","0.001","0.00005","2.594208350405097","2.6779097989201546","0.9443561208267092","0.8709046454767726","","0.9826342179283356","0.895843520782396","","","","","","",""
"dutiful-sweep-58","resnet18","0.3","0.05","0.3","300","0.2","0.0005","2","0.3","pad","false","0","0.0005","0.000025","2.877752471715212","2.8547448217868805","0.7653173535526476","0.7310513447432763","","0.8951938363703069","0.7789731051344744","","","","","","",""
"lunar-sweep-57","efficientnet_b0","0.2","0.1","0.7","224","0.15","0.0003","4","0.7","standard","false","0.0005","0.0003","0.000029999999999999997","3.003807328641414","3.110405556857586","0.8168032285679344","0.7251833740831296","","0.9117035587623824","0.8161369193154034","","","","","","",""
"swept-sweep-56","resnet18","0.5","0.03","0.7","224","0.1","0.0003","3","0.7","standard","false","0.0005","0.0003","0.000008999999999999999","2.909100329503417","2.5540100261569023","0.6959765195059313","0.7662591687041564","","0.7530879295585178","0.7833740831295843","","","","","","",""
"distinctive-sweep-55","efficientnet_v2_s","0.5","0.1","0.3","300","0.2","0.001","2","0.7","standard","false","0.0001","0.001","0.0001","2.2353014685213566","2.158395804464817","0.9135379723615018","0.8875305623471883","","0.968081203375321","0.9149144254278728","","","","","","",""
"super-sweep-54","efficientnet_b0","0.1","0.03","0.7","224","0.2","0.0003","3","0.7","standard","true","0.0001","0.0003","0.000008999999999999999","3.350392289459706","3.5014468356966972","0.8379601320777791","0.7271393643031785","","0.8984957808487221","0.7745721271393643","","","","","","",""
"ancient-sweep-53","resnet50","0.2","0.1","0.7","300","0.3","0.0003","3","0.5","standard","true","0.0005","0.0003","0.000029999999999999997","3.7464424408972263","3.8651886507868767","0.9132933838816192","0.8298288508557458","","0.956218662101015","0.8699266503667482","","","","","","",""
"stoic-sweep-52","efficientnet_b0","0.4","0.05","0.5","300","0.1","0.0005","3","0.7","standard","false","0.00001","0.0005","0.000025","2.2203194051980972","2.2758859917521477","0.8336798336798337","0.7706601466992665","","0.9076678488443194","0.8268948655256724","","","","","","",""
"drawn-sweep-51","resnet50","0.4","0.05","0.3","300","0.3","0.001","4","0.3","standard","false","0.0005","0.001","0.00005","3.0287413503974676","3.097956009209156","0.9235661000366884","0.8268948655256724","","0.964412376177082","0.8596577017114915","","","","","","",""
"spring-sweep-50","resnet18","0.2","0.1","0.5","224","0.1","0.0003","4","0.3","standard","true","0.0001","0.0003","0.000029999999999999997","2.259824000298977","2.266872365027666","0.7943010884187355","0.7662591687041564","","0.8807631160572337","0.7887530562347188","","","","","","",""
"grateful-sweep-49","resnet50","0.1","0.05","0.7","224","0.1","0.0008","3","0.5","standard","false","0","0.0008","0.00004","1.6291748322546482","1.923398058861494","0.9667359667359668","0.845476772616137","","0.9854469854469856","0.8557457212713936","","","","","","",""
"feasible-sweep-48","efficientnet_b0","0.2","0.05","0.7","300","0.2","0.0005","4","0.7","standard","false","0.0001","0.0005","0.000025","3.20729386433959","3.3547133207321167","0.8774611715788186","0.7623471882640587","","0.9446007093065916","0.8356968215158924","","","","","","",""
"comfy-sweep-47","resnet18","0.2","0.03","0.5","300","0.2","0.0005","2","0.5","pad","false","0","0.0005","0.000015","3.0908021833747625","3.1497839391231537","0.8042069218539807","0.7330073349633252","","0.8904243610125963","0.7628361858190709","","","","","","",""
"proud-sweep-46","efficientnet_b0","0.4","0.05","0.5","224","0.15","0.0003","2","0.5","pad","false","0.0001","0.0003","0.000015","2.9848383888602257","3.220079429447651","0.7610370551547022","0.6176039119804401","","0.8093432799315152","0.6533007334963326","","","","","","",""
"treasured-sweep-45","efficientnet_b0","0.4","0.05","0.7","224","0.2","0.0003","4","0.5","augmented","false","0.0005","0.0003","0.000015","3.6563303396105766","3.5942402109503746","0.7409807998043292","0.7095354523227384","","0.8371040723981901","0.7853300733496332","","","","","","",""
"sandy-sweep-44","resnet18","0.3","0.1","0.5","224","0.15","0.0008","3","0.3","augmented","true","0.0005","0.0008","0.00008","2.857025908306241","2.7627212181687355","0.7444050385226856","0.732518337408313","","0.8459092576739635","0.7393643031784841","","","","","","",""
"trim-sweep-43","efficientnet_b0","0.4","0.05","0.3","224","0.2","0.0008","4","0.3","standard","true","0","0.0008","0.00004","2.6899876091629267","2.840024709701538","0.8308670661611838","0.7222493887530562","","0.9245444539562186","0.7995110024449877","","","","","","",""
"vibrant-sweep-42","efficientnet_b0","0.3","0.05","0.5","224","0.2","0.0003","2","0.7","augmented","false","0.0001","0.0003","0.000015","3.250242944806814","3.2552636563777924","0.7636052341934695","0.7105134474327628","","0.8011495658554482","0.7427872860635697","","","","","","",""
